"Participant_ID","Problem","ProblemStep","Ans","Rule_type","Problem.ID","User.ID","External.Service.ID","Assignment.ID","Problem.Set.ID","Problem.Set.Number","Problem.Set.Name","Problem.Set.Updated.At","Class.Assignments.Position","Assignment.Started.Count","Assignment.Finished.Count","Assignment.Homework.Count","Homework.Percent","Problem.Count","Release.Date","Assigned.Date","Due.Date","Assignment.Logs.ID","Assignment.Types.ID","Assignment.Types.Origin","Class.Assignments.Assignment.Type.ID","Assignment.Type","Assignment.Start.Time","Assignment.End.Time","Late.Assignment","Assignment.Time","Last.Worked.On","Mastery.Status","Network.State","Path.Types","Path.Names","Path","Correct","Answer.Text","Peer.Explanation.ID","Student.Work","Is.Work.Sharable","Peer.Explanation.Created.At","Peer.Explanation.Updated.At","Original","Problem.Logs.ID","Problem.Number","Problem.Sub.Part.ID","Scaffold.Problem.IDs","First.Action","Hint.Count","Bottom.Hint","Attempt.Count","Problem.Start.Time","Problem.End.Time","First.Response.Time","Actions","Problem.Name","Template.ID","Template.Number","Prerequisite.Skill.IDs","Prerequisite.Skill.Names","Postrequisite.Skill.IDs","Postrequisite.Skill.Names","Average.Concentration","Average.Confusion","Average.Frustration","Average.Boredom","Condition","TimeSpentOnStep","NormGain","CorrectAnswer","Rule_order","RL_Pattern","NormalizedFirstRT","NormalizedTimeSpentOnStep","ConfidenceRating","Pre_Test"
"thinkaloudp0101",1,1,8,"R1","""PRABNTR4""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6724702""",1,"""8""",NA,"""""",NA,"""""","""""",1,217891120,1267057,1801851,"""""",0,0,0,1,"""2019-12-12 11:50:18.491""","""2019-12-12 11:50:25.598""",7101,"""--- 
- - start
  - 1576169418491
  - ""6724702""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 7101
  - true
  - ""8""
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""A bag contains 6 ...""","""""",NA,"""""","""""","""""","""""",0.281613796949387,0.152245610952377,0.361177504062653,0.204963132739067,"Reactive",7.10699987411499,0.67,8,1,"Follow",0.0212351159233376,0.0124136690367531,4,0
"thinkaloudp0101",1,2,14,"R2","""PRABNTR4""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6724702""",1,"""14""",NA,"""""",NA,"""""","""""",1,217891132,1267057,1801852,"""""",0,0,0,1,"""2019-12-12 11:50:28.023""","""2019-12-12 11:50:43.668""",15642,"""--- 
- - start
  - 1576169428023
  - ""6724702""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 15642
  - true
  - ""14""
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""A bag contains 6 ...""","""""",NA,"""""","""""","""""","""""",0.281613796949387,0.152245610952377,0.361177504062653,0.204963132739067,"Reactive",15.6449999809265,0.67,14,1,"Follow",0.064894209524509,0.0560747165675209,4,0
"thinkaloudp0101",1,3,0.57,"R3","""PRABNTR4""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6724702""",1,"""4/7""",NA,"""""",NA,"""""","""""",1,217891164,1267057,1801853,"""""",0,0,0,1,"""2019-12-12 11:50:46.493""","""2019-12-12 11:51:06.317""",19820,"""--- 
- - start
  - 1576169446493
  - ""6724702""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 19820
  - true
  - 4/7
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""A bag contains 6 ...""","""""",NA,"""""","""""","""""","""""",0.281613796949387,0.152245610952377,0.361177504062653,0.204963132739067,"Reactive",19.8239998817444,0.67,0.571428571428571,1,"Follow",0.347568381674197,0.347559940450201,4,0
"thinkaloudp0101",2,1,10,"R1","""PRABNTR3""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6724701""",1,"""10""",NA,"""""",NA,"""""","""""",1,217891229,1267056,1801854,"""""",0,0,0,1,"""2019-12-12 11:51:21.905""","""2019-12-12 11:51:34.048""",12140,"""--- 
- - start
  - 1576169481905
  - ""6724701""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 12140
  - true
  - ""10""
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""In a lottery, the...""","""""",NA,"""""","""""","""""","""""",NA,NA,NA,NA,"Reactive",12.1429998874664,0.67,10,2,"Follow",0.211610188402563,0.131502829235712,4,0
"thinkaloudp0101",2,2,35,"R2","""PRABNTR3""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6724701""",1,"""35""",NA,"""""",NA,"""""","""""",1,217891250,1267056,1801855,"""""",0,0,0,1,"""2019-12-12 11:51:35.033""","""2019-12-12 11:51:41.499""",6461,"""--- 
- - start
  - 1576169495033
  - ""6724701""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 6461
  - true
  - ""35""
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""In a lottery, the...""","""""",NA,"""""","""""","""""","""""",0.17315374314785,0.169257283210754,0.432271063327789,0.225317969918251,"Reactive",6.46600008010864,0.67,35,2,"Follow",0.0411211231144521,0.041194777895484,4,0
"thinkaloudp0101",2,3,0.29,"R3","""PRABNTR3""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6724701""",1,"""2/7""",NA,"""""",NA,"""""","""""",1,217891264,1267056,1801856,"""""",0,0,0,1,"""2019-12-12 11:51:42.896""","""2019-12-12 11:52:03.277""",20378,"""--- 
- - start
  - 1576169502896
  - ""6724701""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 20378
  - true
  - 2/7
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""In a lottery, the...""","""""",NA,"""""","""""","""""","""""",0.281613796949387,0.152245610952377,0.361177504062653,0.204963132739067,"Reactive",20.3810000419617,0.67,0.285714285714286,2,"Follow",0.268633382738107,0.266971916843364,4,0
"thinkaloudp0101",3,1,3,"R1","""PRABMSDZ""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6549745""",1,"""3""",NA,"""""",NA,"""""","""""",1,217891313,1235961,1754195,"""""",0,0,0,1,"""2019-12-12 11:52:21.759""","""2019-12-12 11:52:29.337""",7574,"""--- 
- - start
  - 1576169541759
  - ""6549745""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 7574
  - true
  - ""3""
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""A die is rolled a...""","""""",NA,"""""","""""","""""","""""",NA,NA,NA,NA,"Reactive",7.57800006866455,0.67,3,3,"Follow",0.0418363302223343,0.0418708628336808,5,0
"thinkaloudp0101",3,2,6,"R2","""PRABMSDZ""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6549745""",1,"""6""",NA,"""""",NA,"""""","""""",1,217891325,1235961,1754213,"""""",0,0,0,1,"""2019-12-12 11:52:30.34""","""2019-12-12 11:52:34.348""",4005,"""--- 
- - start
  - 1576169550340
  - ""6549745""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 4005
  - true
  - ""6""
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""A die is rolled a...""","""""",NA,"""""","""""","""""","""""",NA,NA,NA,NA,"Reactive",4.00799989700317,0.67,6,3,"Follow",0.0136332338765205,0.0136329178712698,5,0
"thinkaloudp0101",3,3,0.5,"R3","""PRABMSDZ""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6549745""",1,"""1/2""",NA,"""""",NA,"""""","""""",1,217891331,1235961,1754214,"""""",0,0,0,1,"""2019-12-12 11:52:35.64""","""2019-12-12 11:52:40.158""",4513,"""--- 
- - start
  - 1576169555640
  - ""6549745""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 4513
  - true
  - 1/2
  - 
  - 1
  - 1
  - true
- - end
  - 1
  - 1
  - GREEN_CHECK
""","""A die is rolled a...""","""""",NA,"""""","""""","""""","""""",0.150536954402924,0.215391725301743,0.430290162563324,0.203781232237816,"Reactive",4.51800012588501,0.67,0.5,3,"Follow",0.0249200754160177,0.0249460397109892,5,0
"thinkaloudp0101",4,1,0.4,"R4","""PRABMSD2""",616753,"""""",2301866,"PSABC7TB",1010508,"""Thinkaloud-R""","""2020-05-14 19:08:52.67991""",69,1,1,NA,NA,37,"""2019-12-11 11:00:00""","""2019-12-11 13:57:29.522118""","""""",11141361,1,"""Teacher""",1,"""Class""","""2019-12-12 11:50:01.484799""","""2019-12-12 12:06:35.741""","false","""00:16:34.256201""","""2019-12-12""","""""","""CONNECTED""","""""","""""","""/PS6537619/PS6549746""",0.333333333333333,""".4""",NA,"""""",NA,"""""","""""",1,217891343,1235962,1754254,"""""",0,1,0,2,"""2019-12-12 11:52:48.177""","""2019-12-12 11:54:37.263""",29408,"""--- 
- - start
  - 1576169568177
  - ""6549746""
  - HINTS
  - true
  - true
  - FillInProblem
  - 3
  - V1
- - answer
  - 29408
  - false
  - .4
  - 
  - 0.666666666666667
  - 0
  - true
- - hint
  - 82864
  - 1
  - 1
  - 0.333333333333333
  - 0
- - answer
  - 109083
  - true
  - .3
  - 
  - 0.333333333333333
  - 0
  - true
- - end
  - 0.333333333333333
  - 0
  - GREEN_CROSS
""","""P(A) = 0.4 and P(...""","""""",NA,"""""","""""","""""","""""",0.281613796949387,0.152245610952377,0.361177533864975,0.204963132739067,"Reactive",109.085999965668,0.67,0.3,1,"FollowWrong_SDF",0.719349234983631,0.579838028030137,2,0
